accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
NC_751354,Carcharhinus limbatus,Elasmobranchii,COI,676,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR464591.1,Pampus argenteus,Actinopterygii,12S rRNA,405,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR254277.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,380,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR216480.1,Rastrelliger kanagurta,Actinopterygii,COI,673,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR899184.1,Pempheris rhomboidea,Actinopterygii,COI,684,Arabian Sea,"Pempheris rhomboidea voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR743423.1,Sphyrna lewini,Elasmobranchii,COI,680,Red Sea,"Sphyrna lewini voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR356360.1,Nemipterus japonicus,Actinopterygii,COI,660,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR122824.1,Thunnus albacares,Actinopterygii,COI,660,Red Sea,"Thunnus albacares voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR149911.1,Pampus argenteus,Actinopterygii,Control Region,884,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR736663.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,418,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_498500,Scomberomorus commerson,Actinopterygii,COI,671,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR874740.1,Nemipterus japonicus,Actinopterygii,12S rRNA,396,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR289908.1,Epinephelus coioides,Actinopterygii,COI,659,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR495867.1,Rastrelliger kanagurta,Actinopterygii,COI,690,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR323172.1,Chaetodon pictus,Actinopterygii,16S rRNA,549,Red Sea,"Chaetodon pictus voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR689154.1,Sardinella longiceps,Actinopterygii,CYTB,1030,Laccadive Sea,"Sardinella longiceps voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR990721.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,369,Laccadive Sea,"Carcharhinus falciformis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR969431.1,Mobula alfredi,Elasmobranchii,CYTB,863,Arabian Sea,"Mobula alfredi voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR409064.1,Nemipterus japonicus,Actinopterygii,CYTB,867,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR183829.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,429,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_746773,Galeocerdo cuvier,Elasmobranchii,CYTB,949,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR191042.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,366,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR881492.1,Pempheris rhomboidea,Actinopterygii,COI,713,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR517161.1,Carcharhinus falciformis,Elasmobranchii,16S rRNA,530,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR160148.1,Pampus argenteus,Actinopterygii,COI,714,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR926012.1,Sarda orientalis,Actinopterygii,COI,694,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR240534.1,Thunnus albacares,Actinopterygii,COI,718,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR296469.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,538,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR219629.1,Epinephelus coioides,Actinopterygii,COI,659,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR599699.1,Galeocerdo cuvier,Elasmobranchii,COI,701,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_476591,Galeocerdo cuvier,Elasmobranchii,COI,673,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR750130.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,444,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR474568.1,Sarda orientalis,Actinopterygii,COI,616,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR808726.1,Sarda orientalis,Actinopterygii,12S rRNA,428,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR637546.1,Epinephelus coioides,Actinopterygii,Control Region,1009,Indian Ocean,"Epinephelus coioides voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR789723.1,Rastrelliger kanagurta,Actinopterygii,COI,601,Bay of Bengal,"Rastrelliger kanagurta voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR550845.1,Rastrelliger kanagurta,Actinopterygii,CYTB,891,Arabian Sea,"Rastrelliger kanagurta voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR213604.1,Chaetodon pictus,Actinopterygii,COI,610,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR398671.1,Sarda orientalis,Actinopterygii,COI,633,Red Sea,"Sarda orientalis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR273539.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,446,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_437414,Lutjanus argentimaculatus,Actinopterygii,CYTB,1025,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR214485.1,Katsuwonus pelamis,Actinopterygii,COI,622,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR574828.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,391,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR680174.1,Galeocerdo cuvier,Elasmobranchii,COI,678,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR698083.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,394,Gulf of Oman,"Lutjanus argentimaculatus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR182594.1,Epinephelus coioides,Actinopterygii,12S rRNA,376,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR222552.1,Pempheris rhomboidea,Actinopterygii,COI,690,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR271377.1,Sarda orientalis,Actinopterygii,16S rRNA,547,Red Sea,"Sarda orientalis voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR773092.1,Lutjanus argentimaculatus,Actinopterygii,COI,670,Western Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR913047.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,431,Western Indian Ocean,"Carcharhinus limbatus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_152732,Taeniura lymma,Elasmobranchii,12S rRNA,391,Red Sea,"Taeniura lymma voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR533484.1,Taeniura lymma,Elasmobranchii,12S rRNA,399,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR710144.1,Rastrelliger kanagurta,Actinopterygii,COI,637,Bay of Bengal,"Rastrelliger kanagurta voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR118259.1,Nemipterus japonicus,Actinopterygii,COI,680,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR889319.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,530,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR619086.1,Taeniura lymma,Elasmobranchii,CYTB,1033,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR490845.1,Thunnus albacares,Actinopterygii,12S rRNA,389,Red Sea,"Thunnus albacares voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR776624.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,355,Arabian Sea,"Pempheris rhomboidea voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR757342.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,571,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR561503.1,Chaetodon pictus,Actinopterygii,COI,699,Western Indian Ocean,"Chaetodon pictus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_952958,Thunnus albacares,Actinopterygii,COI,630,Arabian Sea,"Thunnus albacares voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR291221.1,Chaetodon pictus,Actinopterygii,16S rRNA,542,Western Indian Ocean,"Chaetodon pictus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR520026.1,Pempheris rhomboidea,Actinopterygii,COI,639,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR988007.1,Pampus argenteus,Actinopterygii,CYTB,1068,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR982625.1,Pempheris rhomboidea,Actinopterygii,COI,673,Arabian Sea,"Pempheris rhomboidea voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR726432.1,Nemipterus japonicus,Actinopterygii,12S rRNA,404,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR246009.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,435,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR643494.1,Scomberomorus commerson,Actinopterygii,COI,676,Laccadive Sea,"Scomberomorus commerson voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR338859.1,Pampus argenteus,Actinopterygii,12S rRNA,410,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR787574.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,422,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_647992,Scomberomorus commerson,Actinopterygii,COI,706,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR622264.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,358,Laccadive Sea,"Rastrelliger kanagurta voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR378094.1,Carcharhinus limbatus,Elasmobranchii,COI,686,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR570755.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,350,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR769927.1,Sardinella longiceps,Actinopterygii,COI,714,Indian Ocean,"Sardinella longiceps voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR445365.1,Thunnus albacares,Actinopterygii,12S rRNA,389,Red Sea,"Thunnus albacares voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR114090.1,Pampus argenteus,Actinopterygii,COI,674,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR104220.1,Taeniura lymma,Elasmobranchii,12S rRNA,387,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR294675.1,Taeniura lymma,Elasmobranchii,16S rRNA,582,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR509719.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,599,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_419320,Galeocerdo cuvier,Elasmobranchii,16S rRNA,590,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR598088.1,Sarda orientalis,Actinopterygii,COI,672,Red Sea,"Sarda orientalis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR366647.1,Rastrelliger kanagurta,Actinopterygii,Control Region,950,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR191454.1,Taeniura lymma,Elasmobranchii,COI,680,Red Sea,"Taeniura lymma voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR856563.1,Carcharhinus falciformis,Elasmobranchii,COI,679,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR472120.1,Epinephelus coioides,Actinopterygii,COI,673,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR447278.1,Epinephelus coioides,Actinopterygii,12S rRNA,372,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR259667.1,Nemipterus japonicus,Actinopterygii,16S rRNA,572,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR637293.1,Nemipterus japonicus,Actinopterygii,16S rRNA,540,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR295160.1,Thunnus albacares,Actinopterygii,COI,646,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_288292,Chaetodon pictus,Actinopterygii,COI,635,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR407576.1,Taeniura lymma,Elasmobranchii,12S rRNA,417,Red Sea,"Taeniura lymma voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR791040.1,Taeniura lymma,Elasmobranchii,CYTB,865,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR752414.1,Thunnus albacares,Actinopterygii,COI,616,Bay of Bengal,"Thunnus albacares voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR340720.1,Pempheris rhomboidea,Actinopterygii,CYTB,820,Bay of Bengal,"Pempheris rhomboidea voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR284559.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,384,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR220766.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,384,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR588096.1,Carcharhinus limbatus,Elasmobranchii,COI,645,Laccadive Sea,"Carcharhinus limbatus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR702462.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,596,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR922794.1,Scomberomorus commerson,Actinopterygii,Control Region,944,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_715897,Katsuwonus pelamis,Actinopterygii,COI,639,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR311616.1,Lutjanus argentimaculatus,Actinopterygii,COI,707,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR540056.1,Scomberomorus commerson,Actinopterygii,16S rRNA,512,Laccadive Sea,"Scomberomorus commerson voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
